Date,Quarter,Close,PE,Median_PE_90,Median_PE_180,Median_PE_365
2005-01-03,2005-Q1,32.85,11.989051094890511,,,
2005-01-04,2005-Q1,32.8,11.970802919708028,,,
2005-01-05,2005-Q1,30.7,11.204379562043794,,,
2005-01-06,2005-Q1,30.25,11.04014598540146,,,
2005-01-07,2005-Q1,31.55,11.514598540145984,,,
2005-01-10,2005-Q1,30.95,11.295620437956202,,,
2005-01-11,2005-Q1,29.6,10.802919708029195,,,
2005-01-12,2005-Q1,27.8,10.145985401459852,,,
2005-01-13,2005-Q1,29.0,10.583941605839415,,,
2005-01-14,2005-Q1,28.35,10.346715328467154,,,
2005-01-17,2005-Q1,27.4,9.999999999999998,,,
2005-01-18,2005-Q1,27.8,10.145985401459852,,,
2005-01-19,2005-Q1,30.05,10.967153284671532,,,
2005-01-20,2005-Q1,29.25,10.675182481751824,,,
2005-01-21,2005-Q1,29.25,10.675182481751824,,,
2005-01-24,2005-Q1,28.6,10.437956204379562,,,
2005-01-25,2005-Q1,28.75,10.492700729927009,,,
2005-01-26,2005-Q1,28.75,10.492700729927009,,,
2005-01-27,2005-Q1,29.65,10.821167883211675,,,
2005-01-28,2005-Q1,30.8,11.24087591240876,,,
2005-01-31,2005-Q1,30.0,10.94890510948905,,,
2005-02-01,2005-Q1,30.4,11.094890510948904,,,
2005-02-02,2005-Q1,30.65,11.186131386861312,,,
2005-02-03,2005-Q1,30.65,11.186131386861312,,,
2005-02-04,2005-Q1,33.1,12.08029197080292,,,
2005-02-07,2005-Q1,31.8,11.605839416058393,,,
2005-02-08,2005-Q1,32.65,11.916058394160585,,,
2005-02-09,2005-Q1,33.1,12.08029197080292,,,
2005-02-10,2005-Q1,34.5,12.591240875912408,,,
2005-02-11,2005-Q1,33.95,12.39051094890511,,,
2005-02-14,2005-Q1,33.85,12.354014598540145,,,
2005-02-15,2005-Q1,33.0,12.043795620437956,,,
2005-02-16,2005-Q1,32.7,11.934306569343066,,,
2005-02-17,2005-Q1,32.05,11.6970802919708,,,
2005-02-18,2005-Q1,34.7,12.664233576642337,,,
2005-02-21,2005-Q1,34.7,12.664233576642337,,,
2005-02-22,2005-Q1,34.2,12.481751824817518,,,
2005-02-23,2005-Q1,34.25,12.499999999999998,,,
2005-02-24,2005-Q1,33.45,12.208029197080291,,,
2005-02-25,2005-Q1,32.75,11.952554744525546,,,
2005-02-28,2005-Q1,33.3,12.153284671532845,,,
2005-03-01,2005-Q1,32.7,11.934306569343066,,,
2005-03-02,2005-Q1,32.75,11.952554744525546,,,
2005-03-03,2005-Q1,34.0,12.40875912408759,,,
2005-03-04,2005-Q1,34.45,12.572992700729928,,,
2005-03-07,2005-Q1,33.7,12.299270072992702,,,
2005-03-08,2005-Q1,34.1,12.445255474452557,,,
2005-03-09,2005-Q1,33.5,12.226277372262771,,,
2005-03-10,2005-Q1,33.2,12.116788321167885,,,
2005-03-11,2005-Q1,33.0,12.043795620437956,,,
2005-03-14,2005-Q1,34.0,12.40875912408759,,,
2005-03-15,2005-Q1,33.45,12.208029197080291,,,
2005-03-16,2005-Q1,34.05,12.427007299270072,,,
2005-03-17,2005-Q1,36.95,13.485401459854014,,,
2005-03-18,2005-Q1,36.3,13.24817518248175,,,
2005-03-21,2005-Q1,38.0,13.86861313868613,,,
2005-03-22,2005-Q1,37.9,13.832116788321166,,,
2005-03-23,2005-Q1,35.25,12.864963503649632,,,
2005-03-24,2005-Q1,34.55,12.609489051094888,,,
2005-03-25,2005-Q1,34.55,12.609489051094888,,,
2005-03-28,2005-Q1,34.95,12.755474452554743,,,
